question_id,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,difficulty_level
Q0324,Multiplication,What is the value of 7678 x 32?,244696,238018,245696,246696,253374,C,hard
Q0325,Multiplication,What is the value of 8789 x 33?,290037,298826,289037,291037,281248,A,hard
Q0326,Multiplication,What is the value of 9890 x 34?,346150,335260,336260,326370,337260,C,hard
Q0327,Multiplication,What is the value of 1901 x 35?,64634,67535,65535,66535,68436,D,hard
Q0328,Multiplication,What is the value of 2012 x 36?,74444,70420,72432,71432,73432,C,hard
Q0329,Multiplication,What is the value of 3123 x 37?,112428,115551,114551,118674,116551,B,hard
Q0330,Multiplication,What is the value of 4234 x 38?,165126,159892,156658,161892,160892,E,hard
Q0331,Multiplication,What is the value of 5345 x 39?,213800,207455,208455,203110,209455,C,hard
Q0332,Multiplication,What is the value of 6456 x 41?,264696,265696,263696,258240,271152,A,hard
Q0333,Multiplication,What is the value of 7567 x 42?,310247,318814,316814,325381,317814,E,hard
Q0334,Multiplication,What is the value of 8678 x 43?,364476,374154,373154,372154,381832,C,hard
Q0335,Multiplication,What is the value of 9789 x 44?,440505,431716,420927,430716,429716,D,hard
Q0336,Multiplication,What is the value of 1890 x 45?,84050,83160,85050,86050,86940,C,hard
Q0337,Multiplication,What is the value of 2901 x 46?,134446,133446,132446,130545,136347,B,hard
Q0338,Multiplication,What is the value of 3012 x 47?,138552,144576,142564,140564,141564,E,hard
Q0339,Multiplication,What is the value of 4123 x 48?,196904,202027,198904,193781,197904,E,hard
Q0340,Division,What is the value of 144 / 12?,13,17,7,11,12,E,easy
Q0341,Division,What is the value of 169 / 13?,13,8,14,12,18,A,easy
Q0342,Division,What is the value of 196 / 14?,19,9,13,15,14,E,easy
Q0343,Division,What is the value of 225 / 15?,14,10,16,15,20,D,easy
Q0344,Division,What is the value of 256 / 16?,11,21,15,16,17,D,easy
Q0345,Division,What is the value of 289 / 17?,22,16,18,12,17,E,easy
Q0346,Division,What is the value of 324 / 18?,19,17,23,13,18,E,easy
Q0347,Division,What is the value of 361 / 19?,18,19,20,24,14,B,easy
Q0348,Division,What is the value of 400 / 20?,19,21,15,20,25,D,easy
Q0349,Division,What is the value of 441 / 21?,26,16,22,21,20,D,easy
Q0350,Division,What is the value of 484 / 22?,23,21,27,22,17,D,easy
Q0351,Division,What is the value of 529 / 23?,28,24,18,22,23,E,easy
Q0352,Division,What is the value of 576 / 24?,23,25,29,19,24,E,easy
Q0353,Division,What is the value of 625 / 25?,20,25,26,24,30,B,easy
Q0354,Division,What is the value of 676 / 26?,21,27,26,31,25,C,easy
Q0355,Division,What is the value of 729 / 27?,27,28,26,32,22,A,easy
Q0356,Division,What is the value of 784 / 28?,23,27,33,28,29,D,easy
Q0357,Division,What is the value of 841 / 29?,28,30,29,24,34,C,easy
Q0358,Division,What is the value of 900 / 30?,29,30,25,31,35,B,easy
Q0359,Division,What is the value of 961 / 31?,36,30,32,31,26,D,easy
Q0360,Division,What is the value of 120 / 12?,9,5,11,10,15,D,easy
Q0361,Division,What is the value of 130 / 13?,11,5,9,10,15,D,easy
Q0362,Division,What is the value of 140 / 14?,9,5,11,15,10,E,easy
Q0363,Division,What is the value of 150 / 15?,11,5,15,9,10,E,easy
Q0364,Division,What is the value of 160 / 16?,15,9,10,5,11,C,easy
Q0365,Division,What is the value of 170 / 17?,5,10,15,9,11,B,easy
Q0366,Division,What is the value of 180 / 18?,5,9,11,15,10,E,easy
Q0367,Division,What is the value of 190 / 19?,5,15,11,10,9,D,easy
Q0368,Division,What is the value of 200 / 20?,15,11,10,9,5,C,easy
Q0369,Division,What is the value of 210 / 21?,9,15,11,5,10,E,easy
Q0370,Division,What is the value of 240 / 12?,21,20,25,15,19,B,easy
Q0371,Division,What is the value of 260 / 13?,19,15,25,20,21,D,easy
Q0372,Division,What is the value of 280 / 14?,15,19,25,20,21,D,easy
Q0373,Division,What is the value of 300 / 15?,21,20,25,15,19,B,easy
Q0374,Division,What is the value of 320 / 16?,19,25,20,21,15,C,easy
Q0375,Division,What is the value of 1440 / 12?,121,120,119,110,130,B,medium
Q0376,Division,What is the value of 1690 / 13?,120,130,129,131,140,B,medium
Q0377,Division,What is the value of 1960 / 14?,139,140,141,150,130,B,medium
Q0378,Division,What is the value of 2250 / 15?,150,151,140,160,149,A,medium
Q0379,Division,What is the value of 2560 / 16?,159,161,150,160,170,D,medium
Q0380,Division,What is the value of 2890 / 17?,170,160,180,171,169,A,medium
Q0381,Division,What is the value of 3240 / 18?,190,170,180,179,181,C,medium
Q0382,Division,What is the value of 3610 / 19?,189,180,200,191,190,E,medium
Q0383,Division,What is the value of 4000 / 20?,201,210,200,190,199,C,medium
Q0384,Division,What is the value of 4410 / 21?,220,211,209,210,200,D,medium
Q0385,Division,What is the value of 2400 / 12?,199,190,210,201,200,E,medium
Q0386,Division,What is the value of 2600 / 13?,190,200,201,199,210,B,medium
Q0387,Division,What is the value of 2800 / 14?,201,199,210,190,200,E,medium
Q0388,Division,What is the value of 3000 / 15?,201,200,210,190,199,B,medium
Q0389,Division,What is the value of 3200 / 16?,190,210,199,201,200,E,medium
Q0390,Division,What is the value of 3400 / 17?,210,199,201,190,200,E,medium
Q0391,Division,What is the value of 3600 / 18?,200,190,210,199,201,A,medium
Q0392,Division,What is the value of 3800 / 19?,200,199,201,190,210,A,medium
Q0393,Division,What is the value of 4200 / 21?,201,199,210,190,200,E,medium
Q0394,Division,What is the value of 4800 / 12?,410,390,401,399,400,E,medium
Q0395,Division,What is the value of 5200 / 13?,401,400,399,390,410,B,medium
Q0396,Division,What is the value of 5600 / 14?,399,410,390,400,401,D,medium
Q0397,Division,What is the value of 6000 / 15?,390,410,401,399,400,E,medium
Q0398,Division,What is the value of 6400 / 16?,410,400,399,390,401,B,medium
Q0399,Division,What is the value of 6800 / 17?,401,399,410,400,390,D,medium
Q0400,Division,What is the value of 7200 / 18?,399,410,390,401,400,E,medium
Q0401,Division,What is the value of 7600 / 19?,390,410,400,399,401,C,medium
Q0402,Division,What is the value of 8400 / 21?,390,399,401,400,410,D,medium
Q0403,Division,What is the value of 9600 / 12?,799,801,810,800,790,D,medium
Q0404,Division,What is the value of 9100 / 13?,700,710,690,699,701,A,medium
Q0405,Division,What is the value of 9800 / 14?,690,699,710,700,701,D,medium
Q0406,Division,What is the value of 9000 / 15?,601,600,590,610,599,B,medium
Q0407,Division,What is the value of 8500 / 17?,499,501,510,500,490,D,medium
Q0408,Division,What is the value of 9500 / 19?,500,490,501,499,510,A,medium
Q0409,Division,What is the value of 7200 / 12?,610,601,599,590,600,E,medium
Q0410,Division,What is the value of 7800 / 13?,610,601,600,590,599,C,medium
Q0411,Division,What is the value of 8400 / 14?,590,610,600,601,599,C,medium
Q0412,Division,What is the value of 7500 / 15?,510,499,500,490,501,C,medium
Q0413,Division,What is the value of 8000 / 16?,510,490,499,501,500,E,medium
Q0414,Division,What is the value of 14400 / 12?,1201,1200,1199,1100,1300,B,hard
Q0415,Division,What is the value of 16900 / 13?,1400,1200,1301,1299,1300,E,hard
Q0416,Division,What is the value of 19600 / 14?,1300,1400,1399,1401,1500,B,hard
Q0417,Division,What is the value of 22500 / 15?,1501,1400,1499,1500,1600,D,hard
Q0418,Division,What is the value of 25600 / 16?,1500,1599,1700,1600,1601,D,hard
Q0419,Division,What is the value of 28900 / 17?,1700,1800,1701,1699,1600,A,hard
Q0420,Division,What is the value of 32400 / 18?,1799,1900,1800,1801,1700,C,hard
Q0421,Division,What is the value of 36100 / 19?,1899,1901,1800,1900,2000,D,hard
Q0422,Division,What is the value of 40000 / 20?,1999,1900,2000,2100,2001,C,hard
Q0423,Division,What is the value of 44100 / 21?,2101,2099,2000,2100,2200,D,hard
Q0424,Division,What is the value of 24000 / 12?,2100,1999,2001,2000,1900,D,hard
Q0425,Division,What is the value of 26000 / 13?,1900,2000,2100,1999,2001,B,hard
Q0426,Division,What is the value of 28000 / 14?,2100,1999,2001,1900,2000,E,hard
Q0427,Division,What is the value of 30000 / 15?,2000,2001,1999,1900,2100,A,hard
Q0428,Division,What is the value of 32000 / 16?,2001,1900,1999,2100,2000,E,hard
Q0429,Division,What is the value of 34000 / 17?,2100,2000,1999,2001,1900,B,hard
Q0430,Division,What is the value of 36000 / 18?,1900,2001,2100,2000,1999,D,hard
Q0431,Division,What is the value of 38000 / 19?,1900,1999,2001,2000,2100,D,hard
Q0432,Division,What is the value of 42000 / 21?,2001,2000,1900,2100,1999,B,hard
Q0433,Division,What is the value of 48000 / 12?,3999,4100,4001,3900,4000,E,hard
Q0434,Division,What is the value of 52000 / 13?,4000,4001,3999,3900,4100,A,hard
Q0435,Division,What is the value of 56000 / 14?,3999,4100,3900,4000,4001,D,hard
Q0436,Division,What is the value of 60000 / 15?,4100,3999,4001,4000,3900,D,hard
Q0437,Division,What is the value of 64000 / 16?,4100,3900,3999,4001,4000,E,hard
Q0438,Division,What is the value of 68000 / 17?,4000,4001,3999,4100,3900,A,hard
Q0439,Division,What is the value of 72000 / 18?,3999,3900,4001,4000,4100,D,hard
Q0440,Division,What is the value of 76000 / 19?,4100,4000,4001,3900,3999,B,hard
Q0441,Division,What is the value of 84000 / 21?,3999,4001,4000,3900,4100,C,hard
Q0442,Division,What is the value of 96000 / 12?,7900,7999,8001,8100,8000,E,hard
Q0443,Division,What is the value of 91000 / 13?,7100,6999,7001,6900,7000,E,hard
Q0444,Division,What is the value of 98000 / 14?,7000,7100,7001,6999,6900,A,hard
Q0445,Division,What is the value of 90000 / 15?,6001,5900,5999,6000,6100,D,hard
Q0446,Division,What is the value of 85000 / 17?,5100,4999,5001,5000,4900,D,hard
Q0447,Division,What is the value of 95000 / 19?,4999,5100,5001,4900,5000,E,hard
Q0448,Division,What is the value of 72000 / 12?,6100,5900,5999,6000,6001,D,hard
Q0449,Division,What is the value of 78000 / 13?,5900,5999,6100,6001,6000,E,hard
Q0450,Division,What is the value of 84000 / 14?,6001,5999,6000,6100,5900,C,hard
Q0451,Division,What is the value of 75000 / 15?,4900,5100,4999,5001,5000,E,hard
Q0452,Division,What is the value of 80000 / 16?,5001,5000,5100,4999,4900,B,hard
Q0453,Division,What is the value of 85000 / 17?,5000,4999,5001,4900,5100,A,hard
Q0569,Ordering Fractions,"Which is SMALLEST: 1/3, 1/5, 1/7, 1/9, 1/11","""1/11""","""1/9""","""1/3"""," ""1/7""","""1/5""",A,easy
Q0570,Ordering Fractions,"Which is LARGEST: 1/3, 1/5, 1/7, 1/9, 1/11","""1/5""","""1/9""","""1/11"""," ""1/7""","""1/3""",E,easy
Q0571,Ordering Fractions,"Which is SMALLEST: 2/3, 3/4, 4/5, 5/6, 6/7","""6/7""","""4/5""","""2/3""","""5/6""","""3/4""",C,easy
Q0572,Ordering Fractions,"Which is LARGEST: 2/3, 3/4, 4/5, 5/6, 6/7","""5/6""","""3/4""","""2/3""","""4/5""","""6/7""",E,easy
Q0573,Ordering Fractions,"Which is SMALLEST: 3/8, 5/8, 7/8, 1/8, 6/8","""1/8""","""7/8""","""3/8""","""6/8""","""5/8""",A,easy
Q0574,Ordering Fractions,"Which is LARGEST: 3/8, 5/8, 7/8, 1/8, 6/8","""5/8""","""1/8""","""6/8""","""3/8""","""7/8""",E,easy
Q0575,Ordering Fractions,"Which is SMALLEST: 2/5, 3/5, 4/5, 1/5, 5/5","""2/5/""","""3/5""","""1/5""","""4/5""","""5/5""",C,easy
Q0576,Ordering Fractions,"Which is LARGEST: 2/5, 3/5, 4/5, 1/5, 5/5","""5/5""","""1/5""","""2/5""","""3/5""","""4/5""",A,easy
Q0577,Ordering Fractions,"Which is SMALLEST: 1/7, 2/7, 4/7, 5/7, 6/7","""4/7""","""6/7""","""1/7""","""5/7""","""2/7""",C,easy
Q0578,Ordering Fractions,"Which is LARGEST: 1/7, 2/7, 4/7, 5/7, 6/7","""6/7""","""5/7""","""4/7""","""2/7""","""1/7""",A,easy
Q0579,Ordering Fractions,"Which is SMALLEST: 3/11, 5/11, 7/11, 9/11, 1/11","""3/11""","""9/11""","""5/11""","""7/11""","""1/11""",E,easy
Q0580,Ordering Fractions,"Which is LARGEST: 3/11, 5/11, 7/11, 9/11, 1/11","""7/11""","""3/11""","""9/11""","""5/11""","""1/11""",C,easy
Q0581,Ordering Fractions,"Which is SMALLEST: 5/13, 7/13, 9/13, 3/13, 11/13","""11/13""","""7/13""","""3/13""","""9/13""","""5/13""",C,easy
Q0582,Ordering Fractions,"Which is LARGEST: 5/13, 7/13, 9/13, 3/13, 11/13","""5/13""","""11/13""","""7/13""","""9/13""","""3/13""",B,easy
Q0583,Ordering Fractions,"Which is SMALLEST: 2/9, 4/9, 6/9, 8/9, 1/9","""4/9""","""8/9""","""6/9""","""1/9""","""2/9""",D,easy
Q0584,Ordering Fractions,"Which is LARGEST: 2/9, 4/9, 6/9, 8/9, 1/9","""4/9""","""1/9""","""2/9""","""6/9""","""8/9""",E,easy
Q0585,Ordering Fractions,"Which is SMALLEST: 3/10, 7/10, 1/10, 9/10, 5/10","""1/10""","""3/10""","""7/10""","""9/10""","""5/10""",A,easy
Q0586,Ordering Fractions,"Which is LARGEST: 3/10, 7/10, 1/10, 9/10, 5/10","""7/10""","""1/10""","""5/10""","""9/10""","""3/10""",D,easy
Q0587,Ordering Fractions,"Which is SMALLEST: 4/12, 8/12, 2/12, 10/12, 6/12","""8/12""","""6/12""","""10/12""","""4/12""","""2/12""",E,easy
Q0588,Ordering Fractions,"Which is LARGEST: 4/12, 8/12, 2/12, 10/12, 6/12","""8/12""","""2/12""","""10/12""","""6/12""","""4/12""",C,easy
Q0589,Ordering Fractions,"What is the 2nd SMALLEST: 1/2, 1/3, 1/4, 1/5, 1/6","""1/4""","""1/2""","""1/3""","""1/5""","""1/6""",D,easy
Q0590,Ordering Fractions,"What is the 2nd LARGEST: 1/2, 1/3, 1/4, 1/5, 1/6","""1/6""","""1/2""","""1/4""","""1/3""","""1/5""",D,easy
Q0591,Ordering Fractions,"What is the 2nd SMALLEST: 2/3, 3/4, 4/5, 5/6, 6/7","""5/6""","""6/7""","""4/5""","""3/4""","""2/3""",D,easy
Q0592,Ordering Fractions,"What is the 2nd LARGEST: 2/3, 3/4, 4/5, 5/6, 6/7","""6/7""","""5/6""","""2/3""","""3/4""","""4/5""",B,easy
Q0593,Ordering Fractions,"Which is SMALLEST: 3/7, 4/9, 5/11, 2/5, 6/13","""6/13""","""3/7""","""2/5""","""4/9""","""5/11""",A,easy
Q0594,Ordering Fractions,"Which is LARGEST: 3/7, 4/9, 5/11, 2/5, 6/13","""5/11""","""3/7""","""6/13""","""4/9""","""2/5""",E,easy
Q0595,Ordering Fractions,"Which is SMALLEST: 5/8, 7/12, 3/5, 4/7, 9/16","""4/7""","""3/5""","""9/16""","""7/12""","""5/8""",C,easy
Q0596,Ordering Fractions,"Which is LARGEST: 5/8, 7/12, 3/5, 4/7, 9/16","""3/5""","""9/16""","""4/7""","""5/8""","""7/12""",A,easy
Q0597,Ordering Fractions,"Which is SMALLEST: 7/10, 5/7, 3/4, 8/11, 11/15","""5/7""","""7/10""","""11/15""","""3/4""","""8/11""",C,easy
Q0598,Ordering Fractions,"Which is LARGEST: 7/10, 5/7, 3/4, 8/11, 11/15","""8/11""","""5/7""","""11/15""","""3/4""","""7/10""",D,easy
Q0599,Ordering Fractions,"Which is SMALLEST: 9/14, 5/8, 7/11, 4/7, 6/10","""7/11""","""5/8""","""4/7""","""6/10""","""9/14""",C,easy
Q0600,Ordering Fractions,"Which is LARGEST: 9/14, 5/8, 7/11, 4/7, 6/10","""4/7'","""9/14""","""6/10""","""5/8""","""7/11""",D,easy
Q0601,Ordering Fractions,"Which is SMALLEST: 2/3, 5/9, 4/7, 7/12, 3/5","""2/3""","""4/7""","""5/9""","""3/5""","""7/12""",C,easy
Q0602,Ordering Fractions,"Which is LARGEST: 2/3, 5/9, 4/7, 7/12, 3/5","""3/5""","""5/9""","""4/7""","""7/12""","""2/3""",E,easy
Q0603,Ordering Fractions,"Arrange in ASCENDING order: 3/4, 1/6, 2/3, 5/12, 7/18",1/6 < 5/12 < 7/18 < 2/3 < 3/4,1/6 < 7/18 < 5/12 < 2/3 < 3/4,7/18 < 1/6 < 5/12 < 2/3 < 3/4,3/4 > 2/3 > 5/12 > 7/18 > 1/6,1/6 < 2/3 < 5/12 < 7/18 < 3/4,B,medium
Q0604,Ordering Fractions,"Arrange in DESCENDING order: 3/4, 1/6, 2/3, 5/12, 7/18",3/4 > 5/12 > 2/3 > 7/18 > 1/6,3/4 > 2/3 > 7/18 > 5/12 > 1/6,3/4 > 2/3 > 5/12 > 7/18 > 1/6,1/6 > 7/18 > 5/12 > 2/3 > 3/4,2/3 > 3/4 > 5/12 > 7/18 > 1/6,C,medium
Q0605,Ordering Fractions,"Arrange in ASCENDING order: 7/8, 5/12, 2/3, 3/4, 11/16",5/12 < 3/4 < 2/3 < 11/16 < 7/8,7/8 > 11/16 > 3/4 > 2/3 > 5/12,2/3 < 5/12 < 3/4 < 11/16 < 7/8,5/12 < 2/3 < 11/16 < 3/4 < 7/8,5/12 < 2/3 < 3/4 < 11/16 < 7/8,E,medium
Q0606,Ordering Fractions,"Arrange in DESCENDING order: 7/8, 5/12, 2/3, 3/4, 11/16",7/8 > 3/4 > 11/16 > 2/3 > 5/12,7/8 > 11/16 > 3/4 > 2/3 > 5/12,5/12 > 2/3 > 3/4 > 11/16 > 7/8,3/4 > 7/8 > 2/3 > 11/16 > 5/12,7/8 > 2/3 > 3/4 > 11/16 > 5/12,B,medium
Q0607,Ordering Fractions,"Arrange in ASCENDING order: 9/10, 4/5, 7/8, 11/12, 5/6",4/5 < 5/6 < 9/10 < 7/8 < 11/12,4/5 < 7/8 < 5/6 < 9/10 < 11/12,11/12 > 9/10 > 7/8 > 5/6 > 4/5,5/6 < 4/5 < 7/8 < 9/10 < 11/12,4/5 < 5/6 < 7/8 < 9/10 < 11/12,E,medium
Q0608,Ordering Fractions,"Arrange in DESCENDING order: 9/10, 4/5, 7/8, 11/12, 5/6",9/10 > 11/12 > 7/8 > 5/6 > 4/5,11/12 > 7/8 > 9/10 > 5/6 > 4/5,11/12 > 9/10 > 5/6 > 7/8 > 4/5,4/5 > 5/6 > 7/8 > 9/10 > 11/12,11/12 > 9/10 > 7/8 > 5/6 > 4/5,E,medium
Q0609,Ordering Fractions,"Arrange in ASCENDING order: 2/5, 3/7, 4/9, 1/2, 5/11",4/9 < 2/5 < 3/7 < 5/11 < 1/2,2/5 < 4/9 < 5/11 < 3/7 < 1/2,1/2 > 3/7 > 5/11 > 4/9 > 2/5,2/5 < 3/7 < 4/9 < 5/11 < 1/2,3/7 < 2/5 < 4/9 < 5/11 < 1/2,B,medium
Q0610,Ordering Fractions,"Arrange in DESCENDING order: 2/5, 3/7, 4/9, 1/2, 5/11",1/2 > 3/7 > 4/9 > 5/11 > 2/5,2/5 > 4/9 > 5/11 > 3/7 > 1/2,1/2 > 5/11 > 3/7 > 4/9 > 2/5,1/2 > 3/7 > 5/11 > 4/9 > 2/5,3/7 > 1/2 > 5/11 > 4/9 > 2/5,D,medium
Q0611,Ordering Fractions,"Arrange in ASCENDING order: 6/7, 7/8, 8/9, 9/10, 10/11",6/7 < 7/8 < 8/9 < 9/10 < 10/11,10/11 > 9/10 > 8/9 > 7/8 > 6/7,6/7 < 8/9 < 7/8 < 9/10 < 10/11,6/7 < 7/8 < 9/10 < 8/9 < 10/11,7/8 < 6/7 < 8/9 < 9/10 < 10/11,A,medium
Q0612,Ordering Fractions,"Arrange in DESCENDING order: 6/7, 7/8, 8/9, 9/10, 10/11",10/11 > 8/9 > 9/10 > 7/8 > 6/7,10/11 > 9/10 > 7/8 > 8/9 > 6/7,6/7 > 7/8 > 8/9 > 9/10 > 10/11,10/11 > 9/10 > 8/9 > 7/8 > 6/7,9/10 > 10/11 > 8/9 > 7/8 > 6/7,D,medium
Q0613,Ordering Fractions,"Arrange in ASCENDING order: 4/5, 3/10, 7/15, 2/3, 9/20",3/10 < 9/20 < 7/15 < 2/3 < 4/5,3/10 < 7/15 < 2/3 < 9/20 < 4/5,4/5 > 2/3 > 9/20 > 7/15 > 3/10,7/15 < 3/10 < 9/20 < 2/3 < 4/5,3/10 < 7/15 < 9/20 < 2/3 < 4/5,E,medium
Q0614,Ordering Fractions,"Arrange in DESCENDING order: 4/5, 3/10, 7/15, 2/3, 9/20",4/5 > 9/20 > 2/3 > 7/15 > 3/10,4/5 > 2/3 > 9/20 > 7/15 > 3/10,4/5 > 2/3 > 7/15 > 9/20 > 3/10,3/10 > 7/15 > 9/20 > 2/3 > 4/5,2/3 > 4/5 > 9/20 > 7/15 > 3/10,B,medium
Q0615,Ordering Fractions,"Arrange in ASCENDING order: 1/2, 3/8, 5/6, 7/12, 4/9",3/8 < 1/2 < 4/9 < 7/12 < 5/6,3/8 < 4/9 < 1/2 < 7/12 < 5/6,4/9 < 3/8 < 1/2 < 7/12 < 5/6,3/8 < 4/9 < 7/12 < 1/2 < 5/6,5/6 > 7/12 > 1/2 > 4/9 > 3/8,B,medium
Q0616,Ordering Fractions,"Arrange in DESCENDING order: 1/2, 3/8, 5/6, 7/12, 4/9",5/6 > 1/2 > 7/12 > 4/9 > 3/8,3/8 > 4/9 > 1/2 > 7/12 > 5/6,5/6 > 7/12 > 4/9 > 1/2 > 3/8,7/12 > 5/6 > 1/2 > 4/9 > 3/8,5/6 > 7/12 > 1/2 > 4/9 > 3/8,E,medium
Q0617,Ordering Fractions,"Arrange in ASCENDING order: 5/6, 2/9, 1/2, 7/18, 4/15",2/9 < 4/15 < 1/2 < 7/18 < 5/6,5/6 > 1/2 > 7/18 > 4/15 > 2/9,2/9 < 4/15 < 7/18 < 1/2 < 5/6,4/15 < 2/9 < 7/18 < 1/2 < 5/6,2/9 < 7/18 < 4/15 < 1/2 < 5/6,C,medium
Q0618,Ordering Fractions,"Arrange in DESCENDING order: 5/6, 2/9, 1/2, 7/18, 4/15",5/6 > 1/2 > 4/15 > 7/18 > 2/9,2/9 > 4/15 > 7/18 > 1/2 > 5/6,5/6 > 7/18 > 1/2 > 4/15 > 2/9,1/2 > 5/6 > 7/18 > 4/15 > 2/9,5/6 > 1/2 > 7/18 > 4/15 > 2/9,E,medium
Q0619,Ordering Fractions,"Arrange in ASCENDING order: 11/12, 5/8, 2/3, 7/9, 3/4",5/8 < 2/3 < 7/9 < 3/4 < 11/12,5/8 < 2/3 < 3/4 < 7/9 < 11/12,11/12 > 7/9 > 3/4 > 2/3 > 5/8,5/8 < 3/4 < 2/3 < 7/9 < 11/12,2/3 < 5/8 < 3/4 < 7/9 < 11/12,B,medium
Q0620,Ordering Fractions,"Arrange in DESCENDING order: 11/12, 5/8, 2/3, 7/9, 3/4",7/9 > 11/12 > 3/4 > 2/3 > 5/8,5/8 > 2/3 > 3/4 > 7/9 > 11/12,11/12 > 7/9 > 2/3 > 3/4 > 5/8,11/12 > 7/9 > 3/4 > 2/3 > 5/8,11/12 > 3/4 > 2/3 > 7/9 > 5/8,D,medium
Q0621,Ordering Fractions,"Arrange in ASCENDING order: 1/3, 2/5, 3/7, 4/9, 5/11",1/3 < 5/11 < 4/9 < 3/7 < 2/5,5/11 < 1/3 < 4/9 < 3/7 < 2/5,1/3 < 4/9 < 5/11 < 3/7 < 2/5,2/5 > 3/7 > 4/9 > 5/11 > 1/3,1/3 < 3/7 < 4/9 < 5/11 < 2/5,A,medium
Q0622,Ordering Fractions,"Arrange in DESCENDING order: 1/3, 2/5, 3/7, 4/9, 5/11",2/5 > 3/7 > 4/9 > 5/11 > 1/3,1/3 > 5/11 > 4/9 > 3/7 > 2/5,3/7 > 2/5 > 5/11 > 4/9 > 1/3,2/5 > 3/7 > 5/11 > 4/9 > 1/3,2/5 > 5/11 > 3/7 > 4/9 > 1/3,A,medium
Q0623,Ordering Fractions,"Arrange in ASCENDING order: 7/11, 5/8, 9/14, 2/3, 11/17",7/11 < 9/14 < 5/8 < 11/17 < 2/3,7/11 < 5/8 < 9/14 < 11/17 < 2/3,2/3 > 11/17 > 5/8 > 9/14 > 7/11,9/14 < 7/11 < 5/8 < 11/17 < 2/3,7/11 < 5/8 < 11/17 < 9/14 < 2/3,A,medium
Q0624,Ordering Fractions,"Arrange in DESCENDING order: 7/11, 5/8, 9/14, 2/3, 11/17",5/8 > 2/3 > 11/17 > 9/14 > 7/11,2/3 > 11/17 > 5/8 > 9/14 > 7/11,7/11 > 9/14 > 5/8 > 11/17 > 2/3,2/3 > 9/14 > 5/8 > 11/17 > 7/11,2/3 > 5/8 > 11/17 > 9/14 > 7/11,B,medium
Q0625,Ordering Fractions,"Arrange in ASCENDING order: 8/9, 5/6, 7/8, 11/12, 13/15",13/15 > 11/12 > 8/9 > 7/8 > 5/6,5/6 < 7/8 < 11/12 < 8/9 < 13/15,5/6 < 8/9 < 7/8 < 11/12 < 13/15,5/6 < 7/8 < 8/9 < 11/12 < 13/15,7/8 < 5/6 < 8/9 < 11/12 < 13/15,D,medium
Q0626,Ordering Fractions,"Arrange in DESCENDING order: 8/9, 5/6, 7/8, 11/12, 13/15",13/15 > 11/12 > 8/9 > 7/8 > 5/6,5/6 > 7/8 > 8/9 > 11/12 > 13/15,13/15 > 11/12 > 7/8 > 8/9 > 5/6,13/15 > 8/9 > 11/12 > 7/8 > 5/6,11/12 > 13/15 > 8/9 > 7/8 > 5/6,A,medium
Q0627,Ordering Fractions,"Which is SMALLEST: 5/8, 7/10, 3/5, 11/18, 4/7","""7/10""","""4/7""","""11/18""","""3/5""","""5/8""",B,hard
Q0628,Ordering Fractions,"Which is LARGEST: 5/8, 7/10, 3/5, 11/18, 4/7","""3/5""","""4/7""","""7/10""","""5/8""","""11/18""",C,hard
Q0629,Ordering Fractions,"Which is SMALLEST: 4/9, 5/11, 3/7, 6/13, 7/15","""4/9""","""6/13""","""7/15""","""5/11""","""3/7""",B,hard
Q0630,Ordering Fractions,"Which is LARGEST: 4/9, 5/11, 3/7, 6/13, 7/15","""5/11""","""4/9""","""6/13""","""7/15""","""3/7""",E,hard
Q0631,Ordering Fractions,"Which is SMALLEST: 7/12, 5/9, 3/5, 8/15, 4/7","""4/7""","""7/12""","""3/5""","""8/15""","""5/9""",D,hard
Q0632,Ordering Fractions,"Which is LARGEST: 7/12, 5/9, 3/5, 8/15, 4/7","""4/7""","""8/15""","""5/9""","""7/12""","""3/5""",E,hard
Q0633,Ordering Fractions,"Which is SMALLEST: 15/22, 11/16, 9/13, 7/10, 13/19","""15/22""","""13/19""","""11/16""","""7/10""","""9/13""",E,hard
Q0634,Ordering Fractions,"Which is LARGEST: 15/22, 11/16, 9/13, 7/10, 13/19","""15/22""","""11/16""","""13/19""","""9/13""","""7/10""",E,hard
Q0635,Ordering Fractions,"Which is SMALLEST: 17/24, 13/18, 11/15, 9/12, 15/21","""13/18""","""17/24""","""9/12""","""11/15""","""15/21""",E,hard
Q0636,Ordering Fractions,"Which is LARGEST: 17/24, 13/18, 11/15, 9/12, 15/21","""9/12""","""13/18""","""15/21""","""17/24""","""11/15""",A,hard
Q0637,Ordering Fractions,"Which is SMALLEST: 19/26, 15/20, 13/17, 11/14, 17/23","""19/26""","""13/17""","""11/14""","""15/20""","""17/23""",D,hard
Q0638,Ordering Fractions,"Which is LARGEST: 19/26, 15/20, 13/17, 11/14, 17/23","""13/17""","""11/14""","""19/26""","""17/23""","""15/20""",B,hard
Q0639,Comparing Fractions,Which is GREATER: 3/8 or 5/8,"""3/8""","""4/8""","""5/8""","""6/8""","""2/8""",C,easy
Q0640,Comparing Fractions,Which is GREATER: 2/7 or 5/7,"""5/7""","""2/7""","""3/7""","""6/7""","""1/7""",A,easy
